host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
306738772111200,206543,-3.9135,8.0530,4.6457,1.2816,1.4453,1.7495,19.65
306738783922600,206556,-3.6287,8.2026,4.4363,0.7685,1.4820,1.6359,19.63
306738795230500,206567,-3.7878,7.9549,4.6672,0.3714,1.5113,1.4429,19.63
306738806230500,206578,-4.8120,7.8126,4.3035,0.3861,1.4649,1.1924,19.65
306738818113500,206589,-4.2580,7.8844,3.6299,0.6206,1.0458,0.6341,19.63
306738829291700,206601,-4.1456,7.4668,3.6132,0.3250,0.6524,0.5034,19.63
306738840442300,206612,-3.4816,8.2313,4.5882,0.0464,0.2957,0.4581,19.66
306738851300100,206623,-3.2160,8.0327,5.1506,-0.5253,0.0354,0.3054,19.66
306738863076000,206635,-3.4648,7.5434,5.6219,-1.0091,-0.1759,0.1112,19.60
306738874298800,206646,-3.0604,7.2467,6.1472,-1.3659,-0.3714,-0.0660,19.60
306738885718100,206657,-2.6836,7.4094,6.3135,-1.7190,-0.6048,-0.2737,19.64
306738897250500,206668,-2.5651,6.5611,7.0421,-2.1612,-0.8442,-0.8748,19.64
306738908315300,206680,-2.6094,5.7775,7.7515,-2.7574,-1.3195,-1.2205,19.58
306738919279500,206691,-2.1057,4.9496,8.6632,-2.8564,-1.4368,-1.4832,19.64
306738930946500,206702,-1.5015,4.0905,9.1777,-2.9517,-1.4404,-1.6811,19.64
306738941991300,206713,-0.9523,3.3643,9.1537,-3.1936,-1.4160,-1.8473,19.64
306738952987300,206725,-1.3208,2.4215,8.9671,-3.6383,-1.4282,-2.0452,19.64
306738964999500,206736,-1.6929,1.0026,9.5067,-3.9890,-1.4881,-2.2504,19.67
306738975907900,206747,-1.3914,0.3147,10.1599,-3.8827,-1.5149,-2.4276,19.67
306738986978500,206758,-0.8865,-0.6532,10.5009,-3.1215,-1.1191,-2.4569,19.60
306738999148300,206770,-0.5348,-0.2692,10.4614,-2.6438,-0.7257,-2.2822,19.66
306739010130100,206781,-1.1270,-0.1747,10.2927,-2.3286,-0.3030,-1.9584,19.66
306739021200900,206792,-2.1081,-0.4618,10.3334,-1.9841,0.1148,-1.5137,19.67
306739033011000,206804,-2.6142,-0.0790,9.8489,-1.2046,0.4630,-1.0348,19.67
306739044135200,206816,-3.1573,1.8497,9.0999,-0.2566,0.7049,-0.6365,19.63
306739055216700,206827,-3.9111,3.9721,7.6475,0.2126,0.8173,-0.4203,19.63
306739066946000,206838,-4.9352,7.2957,5.6004,0.0684,0.7844,-0.3897,19.61
306739078049300,206850,-4.7677,6.6580,5.1171,-1.9865,0.3506,-0.6451,19.62
306739089129800,206861,-4.8144,5.2415,5.3922,-3.0421,-0.0244,-0.8491,19.62
306739100094100,206872,-4.6935,4.2042,6.4893,-3.6041,-0.3018,-1.0311,19.67
306739112075400,206883,-4.8371,2.8379,7.2395,-3.8863,-0.3812,-1.1362,19.67
306739123402300,206895,-5.1900,1.0959,8.2887,-3.9413,-0.3286,-1.0519,19.67
306739134472100,206906,-5.4293,-1.4405,9.6586,-3.1032,-0.2553,-0.8344,19.67
306739146286500,206917,-5.0560,0.5994,8.4909,-1.5382,-0.1014,-0.5131,19.65
306739157399900,206928,-4.9232,-1.2299,8.8810,-2.5974,0.2993,0.1735,19.65
306739168544700,206940,-4.6313,-0.8231,8.6656,-1.9584,0.3861,0.4765,19.68
306739180194900,206951,-4.2939,0.3984,8.7721,-1.4392,0.5156,0.6390,19.67
306739191334000,206962,-4.8383,0.1364,8.6189,-1.3769,0.6610,0.5583,19.67
306739202452800,206973,-5.1733,-0.6664,7.9825,-0.8577,0.6891,0.4093,19.66
306739213324000,206985,-5.4724,0.1663,7.2359,-0.4459,0.6487,0.3922,19.66
306739225244000,206996,-5.5418,-0.4247,7.5027,-1.0983,0.5217,0.3897,19.67
306739236372800,207007,-5.9653,-1.8305,8.8211,-1.9035,0.3384,0.3934,19.67
306739247157900,207019,-5.2714,-3.6108,9.3799,-1.8961,0.1466,0.4643,19.69
306739259235100,207030,-4.9268,-4.0714,9.7866,-1.4746,0.2150,0.4643,19.67
306739270319800,207041,-5.2929,-3.2674,9.0497,-0.8320,0.2981,0.3409,19.67
306739281475800,207052,-5.7200,-3.5952,9.0329,-0.7819,0.3079,0.1344,19.67
306739292613600,207064,-5.4688,-4.4566,9.5809,-0.7746,0.3250,-0.0049,19.67
306739304294200,207075,-5.5549,-4.2652,9.4313,-0.4337,0.3775,-0.0452,19.66
306739315775400,207086,-4.1109,-4.3992,10.1468,0.0501,0.4081,-0.1112,19.66
306739326588000,207097,-6.8303,-3.8668,9.0305,0.7782,0.4435,-0.2908,19.65
306739338237200,207109,-9.5067,-4.7641,7.8640,0.3005,-0.4985,-0.6377,19.66
306739349291000,207120,-5.2140,-5.6447,10.0570,-0.2199,-1.2523,-0.8222,19.66
306739360542300,207131,-4.1910,-5.3169,12.5348,-0.1796,-1.0470,-0.8748,19.65
306739372225800,207142,-4.3155,-5.8576,11.9007,-0.0098,-0.4484,-0.6267,19.65
306739383326300,207155,-4.0798,-4.3478,9.7424,0.6231,0.0342,-0.3555,19.64
306739394471000,207166,-4.8885,-3.1238,8.4945,0.9713,0.1991,-0.3128,19.64
306739405484900,207177,-5.0070,-2.5161,8.0088,0.9273,0.1356,-0.3995,19.66
306739417407200,207188,-4.8838,-1.7384,8.1512,0.3335,-0.0770,-0.6512,19.66
306739428118100,207200,-5.0345,-1.9513,8.2792,-0.0208,-0.1393,-0.7330,19.68
306739439135700,207211,-4.9747,-2.2804,8.5615,-0.2553,-0.1833,-0.7624,19.68
306739451050000,207222,-4.8096,-2.5208,8.8810,-0.3861,-0.2028,-0.7440,19.68
306739462143500,207234,-4.6636,-2.5723,9.2076,-0.3384,-0.1845,-0.7110,19.67
306739473285800,207245,-4.5775,-2.7111,9.4445,-0.1833,-0.1246,-0.6756,19.67
306739485041200,207256,-4.4782,-2.7230,9.5139,0.0941,-0.0330,-0.6390,19.68
306739496118600,207267,-4.4160,-2.7446,9.0939,0.2969,0.0562,-0.5974,19.68
306739507260300,207279,-4.5703,-2.3880,9.1107,0.6487,0.1466,-0.5229,19.63
306739518151500,207290,-4.6564,-2.1045,9.0712,0.7575,0.1710,-0.4753,19.64
306739530188100,207301,-4.6552,-1.7432,8.8140,0.8442,0.2065,-0.4154,19.64
306739541188300,207312,-4.6505,-1.1940,8.5699,0.8955,0.2285,-0.3641,19.65
306739552374400,207324,-4.6983,-0.6760,8.3701,0.7746,0.2162,-0.3421,19.65
306739563954600,207335,-4.7186,-0.5145,8.2469,0.5180,0.1747,-0.3360,19.64
306739574883800,207346,-4.7677,-0.5886,8.2648,0.2859,0.1185,-0.3335,19.64
306739585874100,207357,-4.4243,-0.7621,8.3964,0.1344,0.0562,-0.3348,19.64
306739596956100,207369,-4.4160,-0.8794,8.5196,-0.1429,-0.0745,-0.4227,19.69
306739608873200,207380,-4.4435,-1.0122,8.6776,-0.2199,-0.1271,-0.4753,19.69
306739620028400,207391,-4.5643,-1.2491,8.7972,-0.2822,-0.1613,-0.4814,19.63
306739630991800,207403,-4.7366,-1.6128,9.0544,-0.3042,-0.1649,-0.4142,19.63
306739643101700,207414,-4.7605,-2.0722,9.3978,-0.1613,-0.1295,-0.2920,19.65
306739653942300,207425,-4.5404,-1.9932,9.5845,0.1796,-0.0574,-0.1503,19.65
306739665157900,207436,-4.3370,-1.8413,9.2399,0.3409,0.0244,-0.0061,19.65
306739676963300,207448,-4.2209,-0.9763,8.4395,0.4191,0.0782,0.1759,19.65
306739688118800,207459,-4.3095,-0.6843,8.3737,0.2224,0.0232,0.1588,19.69
306739699053300,207470,-4.2999,-0.7023,8.4036,-0.0073,-0.0721,0.0611,19.67
306739710225100,207481,-4.2437,-0.9176,8.7266,-0.2187,-0.1833,-0.0794,19.67
306739721906900,207493,-4.1683,-1.2766,9.1286,-0.4276,-0.2590,-0.2627,19.68
306739733117500,207504,-4.0092,-1.9789,9.5581,-0.5840,-0.2908,-0.4606,19.68
306739744087900,207515,-3.9039,-2.5962,9.6538,-0.5889,-0.2871,-0.6158,19.66
306739756028400,207527,-3.8716,-2.9922,9.1418,-0.4765,-0.2419,-0.7037,19.66
306739767131200,207539,-4.1731,-3.0808,9.2602,0.1161,-0.1283,-0.7074,19.63
306739778149600,207550,-4.0343,-3.0544,9.3547,0.2737,-0.0440,-0.6756,19.66
306739789203200,207561,-4.0128,-3.1095,9.1597,0.3482,0.0440,-0.6500,19.66
306739801000700,207572,-4.0451,-3.0066,8.9958,0.5266,0.1038,-0.6585,19.69
306739812045200,207584,-4.1192,-2.6800,8.8965,0.6695,0.1356,-0.7049,19.69
306739823182000,207595,-4.3214,-2.3569,8.8427,0.7184,0.1356,-0.7844,19.67
306739835023500,207606,-4.3406,-2.2624,8.8941,0.7465,0.1173,-0.8784,19.67
306739846107600,207618,-4.5464,-2.4144,9.1478,0.8296,0.0965,-0.9493,19.68
306739857005000,207629,-4.7139,-2.2409,9.1418,1.1240,0.1271,-0.8357,19.66
306739868917200,207640,-4.9077,-2.0148,9.0592,1.1716,0.1796,-0.6475,19.66
306739879980800,207651,-5.0285,-1.8401,8.9970,1.1044,0.2370,-0.4129,19.65
306739891132600,207663,-4.9639,-1.6056,8.8869,1.0214,0.3030,-0.1710,19.65
306739902113400,207674,-4.8718,-1.1557,8.5196,0.8809,0.3641,0.0330,19.68
306739914118100,207685,-4.7330,-0.6269,8.1583,0.7025,0.3848,0.1564,19.68
306739925214700,207696,-4.6170,-0.3314,8.0088,0.5168,0.3433,0.1991,19.64
306739936285000,207708,-4.7665,-0.1807,8.0124,0.3128,0.2553,0.0855,19.64
306739947292800,207719,-4.6409,-0.5527,8.4491,-0.1527,-0.0049,-0.0244,19.65
306739959138200,207730,-4.5081,-0.9667,8.7314,-0.2627,-0.0794,-0.0977,19.63
306739970234000,207741,-4.5021,-1.2742,8.9216,-0.3079,-0.0733,-0.1075,19.63
306739981391700,207753,-4.4865,-1.4548,9.1717,-0.3885,-0.0281,-0.0806,19.66
306739993056300,207764,-4.2461,-1.6965,9.3284,-0.4740,0.0086,-0.0525,19.66
306740004137700,207775,-4.1001,-1.7348,9.1454,-0.4606,0.0318,-0.0440,19.62
306740015422200,207787,-4.3657,-1.6726,8.8355,-0.4300,0.0232,-0.0550,19.62
306740026496200,207798,-4.4746,-1.4656,8.8199,-0.2786,-0.0281,-0.1234,19.66
306740038097200,207809,-5.0345,-1.0911,8.2899,-0.4044,-0.0953,-0.1466,19.61
306740049044000,207820,-4.6193,-1.8317,8.6142,-0.6475,-0.1979,-0.2236,19.61
306740060100800,207832,-4.6780,-1.7563,8.7434,-0.4997,-0.2480,-0.2480,19.70
306740071957200,207843,-4.4471,-1.6211,8.7051,-0.4655,-0.2786,-0.2480,19.70
306740083017300,207854,-4.2544,-1.7850,8.8594,-0.5486,-0.3140,-0.2639,19.64
306740093967700,207865,-4.3478,-2.1224,9.2148,-0.6060,-0.3470,-0.2871,19.64
306740106001000,207877,-4.4447,-3.6251,10.4937,-0.5986,-0.3506,-0.3030,19.69
306740117249600,207888,-4.5416,-3.9326,10.8993,-0.2321,-0.1087,-0.1784,19.68
306740128220100,207899,-4.6528,-4.3633,10.6325,0.0452,0.0660,-0.0403,19.68
306740140155300,207910,-4.5607,-4.6325,9.9817,0.3457,0.1710,0.1234,19.69
306740151305600,207923,-4.4746,-4.7007,9.1430,0.8100,0.1723,0.2847,19.69
306740162431700,207933,-4.2042,-3.9446,8.0674,1.4783,0.0574,0.4288,19.65
306740173481800,207945,-3.1669,-2.1870,7.4477,1.7947,-0.1442,0.4985,19.65
306740185163800,207956,-4.0738,-1.0337,6.8339,1.4612,-0.4557,0.4630,19.66
306740195941200,207968,-2.0770,-0.3410,8.1296,0.8564,-0.7147,0.2114,19.66
306740207272000,207979,-1.9992,-1.7695,8.8223,-1.6139,-1.3195,-0.2016,19.64
306740219148000,207990,-1.9059,-2.9599,10.1504,-1.8741,-1.5455,-0.6781,19.66
306740230228700,208002,-1.8915,-3.6479,10.7785,-1.7446,-1.6188,-1.0434,19.66
306740241484500,208013,-1.9980,-4.4255,10.8850,-1.6677,-1.5773,-1.2535,19.68
306740253266000,208024,-1.8185,-4.6193,11.3312,-1.4148,-1.4111,-1.3195,19.68
306740264431800,208035,-1.9334,-4.5571,11.7440,-1.1362,-1.1362,-1.3207,19.69
306740276233500,208047,-1.3304,-5.8373,10.6182,-0.9102,-0.8039,-1.3109,19.69
